month,date,year,country,hbt,treatment_location,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,percent_4hr_target_achieved
200707,2007-07-01,2007,S92000003,S08000022,C106H,Minor Injury Unit or Other,615,NA,z,612,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.51219512195122
200707,2007-07-01,2007,S92000003,S08000022,C108H,Minor Injury Unit or Other,110,NA,z,110,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000022,C110H,Minor Injury Unit or Other,468,NA,z,467,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.78632478632478
200707,2007-07-01,2007,S92000003,S08000022,C113H,Minor Injury Unit or Other,369,NA,z,363,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.3739837398374
200707,2007-07-01,2007,S92000003,S08000022,C117J,Minor Injury Unit or Other,67,NA,z,65,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,97.01492537313433
200707,2007-07-01,2007,S92000003,S08000022,C121H,Emergency Department,616,NA,z,611,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.18831168831169
200707,2007-07-01,2007,S92000003,S08000022,C122H,Minor Injury Unit or Other,211,NA,z,211,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000022,H101H,Minor Injury Unit or Other,199,NA,z,199,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000022,H103H,Emergency Department,496,NA,z,488,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.38709677419355
200707,2007-07-01,2007,S92000003,S08000022,H106H,Minor Injury Unit or Other,73,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.63013698630137
200707,2007-07-01,2007,S92000003,S08000022,H202H,Emergency Department,2618,2618,NA,2553,2553,NA,549,NA,18,NA,2051,NA,0,NA,0,NA,3,NA,1,NA,97.51718869365928
200707,2007-07-01,2007,S92000003,S08000022,H208H,Minor Injury Unit or Other,281,NA,z,280,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.644128113879
200707,2007-07-01,2007,S92000003,S08000022,H210H,Minor Injury Unit or Other,113,NA,z,111,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.23008849557522
200707,2007-07-01,2007,S92000003,S08000022,H212H,Emergency Department,896,NA,z,879,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.10267857142857
200707,2007-07-01,2007,S92000003,S08000022,H214H,Minor Injury Unit or Other,300,NA,z,296,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.66666666666667
200707,2007-07-01,2007,S92000003,S08000022,H215H,Minor Injury Unit or Other,153,NA,z,152,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.34640522875817
200707,2007-07-01,2007,S92000003,S08000022,H217H,Minor Injury Unit or Other,185,NA,z,185,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000022,H219H,Minor Injury Unit or Other,91,NA,z,91,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000022,H227B,Minor Injury Unit or Other,202,NA,z,202,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000032,L106H,Emergency Department,5662,5662,NA,5443,5443,NA,1537,NA,11,NA,4050,NA,22,NA,42,NA,3,NA,0,NA,96.13210879547863
200707,2007-07-01,2007,S92000003,S08000032,L206H,Minor Injury Unit or Other,165,NA,z,165,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000032,L207H,Minor Injury Unit or Other,166,NA,z,166,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000032,L302H,Emergency Department,4545,4545,NA,4270,4270,NA,1089,NA,12,NA,3384,NA,12,NA,48,NA,87,NA,45,NA,93.94939493949394
200707,2007-07-01,2007,S92000003,S08000032,L308H,Emergency Department,5555,5555,NA,5351,5351,NA,1276,NA,7,NA,4240,NA,15,NA,17,NA,44,NA,20,NA,96.32763276327633
200707,2007-07-01,2007,S92000003,S08000024,S116H,Minor Injury Unit or Other,2761,2761,NA,2600,2600,NA,914,NA,4,NA,1840,NA,3,NA,0,NA,4,NA,0,NA,94.16877942774357
200707,2007-07-01,2007,S92000003,S08000024,S308H,Emergency Department,3900,3900,NA,3642,3642,NA,841,NA,4,NA,2755,NA,75,NA,225,NA,2,NA,0,NA,93.38461538461539
200707,2007-07-01,2007,S92000003,S08000024,S314H,Emergency Department,8947,8947,NA,8468,8468,NA,2683,NA,15,NA,6044,NA,205,NA,0,NA,19,NA,0,NA,94.64625013971164
200707,2007-07-01,2007,S92000003,S08000024,S319H,Emergency Department,2620,2620,NA,2603,2603,NA,396,NA,1,NA,2218,NA,5,NA,0,NA,0,NA,0,NA,99.35114503816794
200707,2007-07-01,2007,S92000003,S08000025,R103H,Minor Injury Unit or Other,225,NA,z,225,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000026,Z102H,Emergency Department,802,802,NA,791,791,NA,125,NA,0,NA,651,NA,3,NA,23,NA,0,NA,0,NA,98.6284289276808
200707,2007-07-01,2007,S92000003,S08000030,T101H,Emergency Department,3940,3940,NA,3927,3927,NA,854,NA,9,NA,3038,NA,20,NA,19,NA,0,NA,0,NA,99.67005076142132
200707,2007-07-01,2007,S92000003,S08000030,T202H,Emergency Department,2208,2208,NA,2192,2192,NA,389,NA,1,NA,1665,NA,69,NA,84,NA,0,NA,0,NA,99.27536231884058
200707,2007-07-01,2007,S92000003,S08000030,T208H,Minor Injury Unit or Other,78,78,NA,78,78,NA,0,NA,0,NA,78,NA,0,NA,0,NA,0,NA,0,NA,100
200707,2007-07-01,2007,S92000003,S08000030,T209H,Minor Injury Unit or Other,167,167,NA,166,166,NA,9,NA,0,NA,158,NA,0,NA,0,NA,0,NA,0,NA,99.40119760479041
200707,2007-07-01,2007,S92000003,S08000030,T304H,Minor Injury Unit or Other,847,847,NA,846,846,NA,56,NA,0,NA,791,NA,0,NA,0,NA,0,NA,0,NA,99.88193624557262
200707,2007-07-01,2007,S92000003,S08000030,T305H,Minor Injury Unit or Other,228,228,NA,228,228,NA,9,NA,0,NA,219,NA,0,NA,0,NA,0,NA,0,NA,100
200707,2007-07-01,2007,S92000003,S08000030,T319H,Minor Injury Unit or Other,504,504,NA,504,504,NA,12,NA,0,NA,492,NA,0,NA,0,NA,0,NA,0,NA,100
200707,2007-07-01,2007,S92000003,S08000030,T357C,Minor Injury Unit or Other,444,444,NA,444,444,NA,0,NA,0,NA,0,NA,0,NA,444,NA,0,NA,0,NA,100
200707,2007-07-01,2007,S92000003,S08000028,W106H,Minor Injury Unit or Other,57,NA,z,57,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000028,W107H,Emergency Department,776,776,NA,762,762,NA,168,NA,0,NA,603,NA,0,NA,5,NA,1,NA,0,NA,98.19587628865979
200707,2007-07-01,2007,S92000003,S08000028,W108H,Minor Injury Unit or Other,135,NA,z,135,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000015,A101H,Minor Injury Unit or Other,265,NA,z,265,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000015,A111H,Emergency Department,5655,5655,NA,5508,5508,NA,1987,NA,9,NA,3548,NA,33,NA,78,NA,5,NA,3,NA,97.40053050397877
200708,2007-08-01,2007,S92000003,S08000015,A207H,Minor Injury Unit or Other,86,NA,z,86,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000015,A210H,Emergency Department,3558,3558,NA,3388,3388,NA,1211,NA,0,NA,2211,NA,77,NA,59,NA,1,NA,0,NA,95.22203485103991
200708,2007-08-01,2007,S92000003,S08000016,B103H,Minor Injury Unit or Other,14,NA,z,14,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000016,B105H,Minor Injury Unit or Other,106,NA,z,106,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000016,B114H,Minor Injury Unit or Other,28,NA,z,28,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000016,B118H,Minor Injury Unit or Other,122,NA,z,122,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000016,B120H,Emergency Department,2005,2005,NA,1993,1993,NA,600,NA,4,NA,1197,NA,34,NA,170,NA,0,NA,0,NA,99.40149625935162
200708,2007-08-01,2007,S92000003,S08000017,Y101H,Minor Injury Unit or Other,92,NA,z,92,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000017,Y106H,Minor Injury Unit or Other,77,NA,z,77,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000017,Y109H,Minor Injury Unit or Other,10,NA,z,10,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000017,Y110H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000017,Y144H,Emergency Department,1269,NA,z,1248,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.3451536643026
200708,2007-08-01,2007,S92000003,S08000017,Y146H,Emergency Department,3010,3010,NA,2903,2903,NA,938,NA,3,NA,2005,NA,10,NA,54,NA,2,NA,0,NA,96.44518272425249
200708,2007-08-01,2007,S92000003,S08000029,F704H,Emergency Department,3877,3877,NA,3745,3745,NA,572,NA,254,NA,2935,NA,49,NA,67,NA,8,NA,3,NA,96.59530564869745
200708,2007-08-01,2007,S92000003,S08000029,F708H,Minor Injury Unit or Other,155,NA,z,155,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000029,F709H,Minor Injury Unit or Other,251,NA,z,250,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.60159362549801
200708,2007-08-01,2007,S92000003,S08000029,F805H,Emergency Department,3507,3507,NA,3400,3400,NA,712,NA,55,NA,2684,NA,31,NA,25,NA,3,NA,0,NA,96.94895922440833
200708,2007-08-01,2007,S92000003,S08000019,V102H,Minor Injury Unit or Other,1872,1872,NA,1870,1870,NA,0,NA,0,NA,1344,NA,227,NA,301,NA,0,NA,0,NA,99.8931623931624
200708,2007-08-01,2007,S92000003,S08000019,V201H,Emergency Department,4370,4370,NA,4055,4055,NA,1096,NA,4,NA,2572,NA,38,NA,660,NA,10,NA,0,NA,92.79176201372998
200708,2007-08-01,2007,S92000003,S08000020,N101H,Emergency Department,5421,5421,NA,5261,5261,NA,1278,NA,27,NA,3979,NA,108,NA,29,NA,5,NA,1,NA,97.04851503412655
200708,2007-08-01,2007,S92000003,S08000020,N121H,Emergency Department,1412,1412,NA,1402,1402,NA,343,NA,0,NA,1069,NA,0,NA,0,NA,0,NA,0,NA,99.29178470254958
200708,2007-08-01,2007,S92000003,S08000020,N151H,Minor Injury Unit or Other,72,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N331H,Minor Injury Unit or Other,48,NA,z,48,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N332H,Minor Injury Unit or Other,93,NA,z,93,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N333H,Minor Injury Unit or Other,1105,NA,z,1104,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.90950226244344
200708,2007-08-01,2007,S92000003,S08000020,N334H,Minor Injury Unit or Other,806,NA,z,802,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.50372208436724
200708,2007-08-01,2007,S92000003,S08000020,N335H,Minor Injury Unit or Other,256,NA,z,256,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N336H,Minor Injury Unit or Other,178,NA,z,178,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N337H,Minor Injury Unit or Other,385,NA,z,385,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N411H,Emergency Department,1905,1905,NA,1791,1791,NA,560,NA,2,NA,1273,NA,27,NA,43,NA,6,NA,0,NA,94.01574803149606
200708,2007-08-01,2007,S92000003,S08000020,N431H,Minor Injury Unit or Other,104,NA,z,104,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N432H,Minor Injury Unit or Other,45,NA,z,45,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N433H,Minor Injury Unit or Other,118,NA,z,118,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N434H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N451H,Minor Injury Unit or Other,36,NA,z,36,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000020,N494H,Minor Injury Unit or Other,150,150,NA,150,150,NA,0,NA,1,NA,122,NA,27,NA,0,NA,0,NA,0,NA,100
200708,2007-08-01,2007,S92000003,S08000031,C206H,Minor Injury Unit or Other,1407,1407,NA,1388,1388,NA,352,NA,1,NA,956,NA,84,NA,14,NA,0,NA,0,NA,98.64960909737029
200708,2007-08-01,2007,S92000003,S08000031,C313H,Emergency Department,2791,2791,NA,2732,2732,NA,577,NA,1,NA,2039,NA,25,NA,149,NA,0,NA,0,NA,97.88606234324615
200708,2007-08-01,2007,S92000003,S08000031,C418H,Emergency Department,5691,5691,NA,5548,5548,NA,1577,NA,6,NA,3742,NA,64,NA,302,NA,2,NA,0,NA,97.4872605868916
200708,2007-08-01,2007,S92000003,S08000031,G107H,Emergency Department,6248,6248,NA,5881,5881,NA,1898,NA,18,NA,3883,NA,113,NA,336,NA,9,NA,2,NA,94.12612035851473
200708,2007-08-01,2007,S92000003,S08000031,G207H,Emergency Department,3627,3627,NA,3348,3348,NA,1062,NA,1,NA,2380,NA,41,NA,143,NA,23,NA,4,NA,92.3076923076923
200708,2007-08-01,2007,S92000003,S08000031,G306H,Emergency Department,5964,5964,NA,5844,5844,NA,1572,NA,13,NA,4225,NA,105,NA,49,NA,2,NA,0,NA,97.98792756539235
200708,2007-08-01,2007,S92000003,S08000031,G405H,Emergency Department,4162,4162,NA,3813,3813,NA,1146,NA,12,NA,2743,NA,36,NA,225,NA,7,NA,0,NA,91.61460836136473
200708,2007-08-01,2007,S92000003,S08000031,G513H,Emergency Department,3007,3007,NA,2962,2962,NA,529,NA,0,NA,2467,NA,3,NA,8,NA,2,NA,1,NA,98.50349185234452
200708,2007-08-01,2007,S92000003,S08000031,G516H,Emergency Department,5177,5177,NA,4733,4733,NA,1643,NA,9,NA,3112,NA,113,NA,300,NA,26,NA,3,NA,91.42360440409504
200708,2007-08-01,2007,S92000003,S08000022,C103B,Minor Injury Unit or Other,423,NA,z,422,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.76359338061465
200708,2007-08-01,2007,S92000003,S08000022,C106H,Minor Injury Unit or Other,628,NA,z,627,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.84076433121018
200708,2007-08-01,2007,S92000003,S08000022,C108H,Minor Injury Unit or Other,94,NA,z,94,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000022,C110H,Minor Injury Unit or Other,364,NA,z,364,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200708,2007-08-01,2007,S92000003,S08000022,C113H,Minor Injury Unit or Other,367,NA,z,361,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.36512261580381
200708,2007-08-01,2007,S92000003,S08000022,C117J,Minor Injury Unit or Other,74,NA,z,73,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.64864864864865
