quarter,quarter_qf,hb,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beddays,all_staffed_beddays_qf,total_occupied_beddays,total_occupied_beddays_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf
2019Q4,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15603,NA,11659,NA,169.59782608695656,NA,126.72826086956525,NA,74.72280971608023,NA
2019Q4,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15603,NA,11659,NA,169.59782608695656,NA,126.72826086956525,NA,74.72280971608023,NA
2020Q1,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,14896,NA,10915,NA,163.6923076923077,NA,119.94505494505498,NA,73.2747046186896,NA
2020Q1,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,14896,NA,10915,NA,163.6923076923077,NA,119.94505494505498,NA,73.2747046186896,NA
2020Q2,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,14417,NA,8152,NA,158.42857142857144,NA,89.58241758241759,NA,56.5443573558993,NA
2020Q2,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,14417,NA,8152,NA,158.42857142857144,NA,89.58241758241759,NA,56.5443573558993,NA
2020Q3,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15524,NA,10016,NA,168.73913043478262,NA,108.86956521739133,NA,64.51945374903374,NA
2020Q3,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15524,NA,10016,NA,168.73913043478262,NA,108.86956521739133,NA,64.51945374903374,NA
2020Q4,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15756,NA,11255,NA,171.26086956521743,NA,122.33695652173914,NA,71.43310484894644,NA
2020Q4,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15756,NA,11255,NA,171.26086956521743,NA,122.33695652173914,NA,71.43310484894644,NA
2021Q1,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,16637,NA,12150,NA,184.8555555555556,NA,135,NA,73.02999338823106,NA
2021Q1,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,16637,NA,12150,NA,184.8555555555556,NA,135,NA,73.02999338823106,NA
2021Q2,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,16240,NA,12350,NA,178.46153846153848,NA,135.71428571428575,NA,76.04679802955665,NA
2021Q2,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,16240,NA,12350,NA,178.46153846153848,NA,135.71428571428575,NA,76.04679802955665,NA
2021Q3,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,16931,NA,12063,NA,184.03260869565224,NA,131.1195652173913,NA,71.24800661508478,NA
2021Q3,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,16931,NA,12063,NA,184.03260869565224,NA,131.1195652173913,NA,71.24800661508478,NA
2021Q4,p,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,17796,NA,12615,NA,193.4347826086957,NA,137.11956521739134,NA,70.88671611598113,NA
2021Q4,p,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,17796,NA,12615,NA,193.4347826086957,NA,137.11956521739134,NA,70.88671611598113,NA
2017Q2,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,8,NA,8,NA,0.08791208791208795,NA,0.08791208791208795,NA,100,NA
2017Q2,NA,SB0801,NA,SB0801,d,C3,NA,Anaesthetics,NA,8,NA,8,NA,0.08791208791208795,NA,0.08791208791208795,NA,100,NA
2017Q4,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,7,NA,7,NA,0.07608695652173916,NA,0.07608695652173916,NA,100,NA
2017Q4,NA,SB0801,NA,SB0801,d,C3,NA,Anaesthetics,NA,7,NA,7,NA,0.07608695652173916,NA,0.07608695652173916,NA,100,NA
2020Q2,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,56,NA,56,NA,0.6153846153846155,NA,0.6153846153846155,NA,100,NA
2020Q2,NA,SB0801,NA,SB0801,d,C3,NA,Anaesthetics,NA,56,NA,56,NA,0.6153846153846155,NA,0.6153846153846155,NA,100,NA
2020Q4,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,17,NA,17,NA,0.18478260869565225,NA,0.18478260869565225,NA,100,NA
2020Q4,NA,SB0801,NA,SB0801,d,C3,NA,Anaesthetics,NA,17,NA,17,NA,0.18478260869565225,NA,0.18478260869565225,NA,100,NA
2021Q1,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,36,NA,36,NA,0.4,NA,0.4,NA,100,NA
2021Q1,NA,SB0801,NA,SB0801,d,C3,NA,Anaesthetics,NA,36,NA,36,NA,0.4,NA,0.4,NA,100,NA
2021Q3,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,1,NA,1,NA,0.0108695652173913,NA,0.0108695652173913,NA,100,NA
2021Q3,NA,SB0801,NA,SB0801,d,C3,NA,Anaesthetics,NA,1,NA,1,NA,0.0108695652173913,NA,0.0108695652173913,NA,100,NA
2021Q4,p,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,24,NA,24,NA,0.26086956521739135,NA,0.26086956521739135,NA,100,NA
2021Q4,p,SB0801,NA,SB0801,d,C3,NA,Anaesthetics,NA,24,NA,24,NA,0.26086956521739135,NA,0.26086956521739135,NA,100,NA
2016Q4,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2443,NA,2162,NA,26.554347826086968,NA,23.5,NA,88.49774866966845,NA
2016Q4,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2443,NA,2162,NA,26.554347826086968,NA,23.5,NA,88.49774866966845,NA
2017Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2306,NA,2032,NA,25.62222222222223,NA,22.577777777777783,NA,88.11795316565482,NA
2017Q1,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2306,NA,2032,NA,25.62222222222223,NA,22.577777777777783,NA,88.11795316565482,NA
2017Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2561,NA,2268,NA,28.14285714285715,NA,24.92307692307693,NA,88.55915657946116,NA
2017Q2,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2561,NA,2268,NA,28.14285714285715,NA,24.92307692307693,NA,88.55915657946116,NA
2017Q3,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2492,NA,2148,NA,27.086956521739133,NA,23.34782608695653,NA,86.19582664526487,NA
2017Q3,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2492,NA,2148,NA,27.086956521739133,NA,23.34782608695653,NA,86.19582664526487,NA
2017Q4,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2635,NA,2312,NA,28.641304347826097,NA,25.1304347826087,NA,87.74193548387099,NA
2017Q4,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2635,NA,2312,NA,28.641304347826097,NA,25.1304347826087,NA,87.74193548387099,NA
2018Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2395,NA,2050,NA,26.61111111111111,NA,22.777777777777786,NA,85.59498956158666,NA
2018Q1,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2395,NA,2050,NA,26.61111111111111,NA,22.777777777777786,NA,85.59498956158666,NA
2018Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2574,NA,2294,NA,28.285714285714292,NA,25.208791208791215,NA,89.12198912198913,NA
2018Q2,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2574,NA,2294,NA,28.285714285714292,NA,25.208791208791215,NA,89.12198912198913,NA
2018Q3,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2728,NA,2396,NA,29.652173913043487,NA,26.043478260869573,NA,87.82991202346044,NA
2018Q3,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2728,NA,2396,NA,29.652173913043487,NA,26.043478260869573,NA,87.82991202346044,NA
2018Q4,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2920,NA,2574,NA,31.739130434782616,NA,27.978260869565226,NA,88.15068493150686,NA
2018Q4,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2920,NA,2574,NA,31.739130434782616,NA,27.978260869565226,NA,88.15068493150686,NA
2019Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2757,NA,2483,NA,30.63333333333334,NA,27.588888888888896,NA,90.06166122597027,NA
2019Q1,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2757,NA,2483,NA,30.63333333333334,NA,27.588888888888896,NA,90.06166122597027,NA
2019Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2637,NA,2363,NA,28.97802197802198,NA,25.967032967032974,NA,89.60940462646948,NA
2019Q2,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2637,NA,2363,NA,28.97802197802198,NA,25.967032967032974,NA,89.60940462646948,NA
2019Q3,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2740,NA,2352,NA,29.782608695652183,NA,25.565217391304355,NA,85.83941605839418,NA
2019Q3,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2740,NA,2352,NA,29.782608695652183,NA,25.565217391304355,NA,85.83941605839418,NA
2019Q4,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2591,NA,2276,NA,28.163043478260875,NA,24.739130434782613,NA,87.84253184098804,NA
2019Q4,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2591,NA,2276,NA,28.163043478260875,NA,24.739130434782613,NA,87.84253184098804,NA
2020Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2692,NA,2248,NA,29.58241758241759,NA,24.70329670329671,NA,83.5066864784547,NA
2020Q1,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,2692,NA,2248,NA,29.58241758241759,NA,24.70329670329671,NA,83.5066864784547,NA
2020Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,4515,NA,3294,NA,49.61538461538462,NA,36.19780219780221,NA,72.95681063122926,NA
2020Q2,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,4515,NA,3294,NA,49.61538461538462,NA,36.19780219780221,NA,72.95681063122926,NA
2020Q3,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,4112,NA,3011,NA,44.695652173913054,NA,32.728260869565226,NA,73.22470817120623,NA
2020Q3,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,4112,NA,3011,NA,44.695652173913054,NA,32.728260869565226,NA,73.22470817120623,NA
2020Q4,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,3667,NA,2548,NA,39.85869565217393,NA,27.69565217391305,NA,69.48459230979003,NA
2020Q4,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,3667,NA,2548,NA,39.85869565217393,NA,27.69565217391305,NA,69.48459230979003,NA
2021Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,4251,NA,3061,NA,47.23333333333334,NA,34.01111111111111,NA,72.00658668548579,NA
2021Q1,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,4251,NA,3061,NA,47.23333333333334,NA,34.01111111111111,NA,72.00658668548579,NA
2021Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,3400,NA,3118,NA,37.36263736263738,NA,34.26373626373626,NA,91.70588235294116,NA
2021Q2,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,3400,NA,3118,NA,37.36263736263738,NA,34.26373626373626,NA,91.70588235294116,NA
2021Q3,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,3682,NA,3196,NA,40.02173913043479,NA,34.739130434782616,NA,86.80065181966324,NA
2021Q3,NA,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,3682,NA,3196,NA,40.02173913043479,NA,34.739130434782616,NA,86.80065181966324,NA
2021Q4,p,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,4530,NA,3746,NA,49.239130434782616,NA,40.717391304347835,NA,82.69315673289185,NA
2021Q4,p,SB0801,NA,SB0801,d,A2,NA,Cardiology,NA,4530,NA,3746,NA,49.239130434782616,NA,40.717391304347835,NA,82.69315673289185,NA
2016Q4,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,8043,NA,5576,NA,87.42391304347828,NA,60.608695652173935,NA,69.32736541091631,NA
2016Q4,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,8043,NA,5576,NA,87.42391304347828,NA,60.608695652173935,NA,69.32736541091631,NA
2017Q1,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7771,NA,5234,NA,86.34444444444446,NA,58.155555555555566,NA,67.35297902457857,NA
2017Q1,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7771,NA,5234,NA,86.34444444444446,NA,58.155555555555566,NA,67.35297902457857,NA
2017Q2,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7581,NA,5418,NA,83.30769230769232,NA,59.53846153846155,NA,71.46814404432133,NA
2017Q2,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7581,NA,5418,NA,83.30769230769232,NA,59.53846153846155,NA,71.46814404432133,NA
2017Q3,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7675,NA,5552,NA,83.42391304347828,NA,60.34782608695653,NA,72.33876221498372,NA
2017Q3,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7675,NA,5552,NA,83.42391304347828,NA,60.34782608695653,NA,72.33876221498372,NA
2017Q4,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7791,NA,5661,NA,84.68478260869567,NA,61.53260869565218,NA,72.66076241817483,NA
2017Q4,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7791,NA,5661,NA,84.68478260869567,NA,61.53260869565218,NA,72.66076241817483,NA
2018Q1,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7781,NA,5858,NA,86.45555555555556,NA,65.0888888888889,NA,75.2859529623442,NA
2018Q1,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7781,NA,5858,NA,86.45555555555556,NA,65.0888888888889,NA,75.2859529623442,NA
2018Q2,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7818,NA,6052,NA,85.91208791208793,NA,66.50549450549453,NA,77.41110258378103,NA
2018Q2,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7818,NA,6052,NA,85.91208791208793,NA,66.50549450549453,NA,77.41110258378103,NA
2018Q3,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7681,NA,5916,NA,83.48913043478262,NA,64.30434782608695,NA,77.02122119515688,NA
2018Q3,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7681,NA,5916,NA,83.48913043478262,NA,64.30434782608695,NA,77.02122119515688,NA
2018Q4,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7176,NA,5497,NA,78,NA,59.75,NA,76.60256410256412,NA
2018Q4,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7176,NA,5497,NA,78,NA,59.75,NA,76.60256410256412,NA
2019Q1,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7230,NA,5644,NA,80.33333333333334,NA,62.71111111111112,NA,78.06362378976489,NA
2019Q1,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7230,NA,5644,NA,80.33333333333334,NA,62.71111111111112,NA,78.06362378976489,NA
2019Q2,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7428,NA,6188,NA,81.62637362637363,NA,68,NA,83.30640818524505,NA
2019Q2,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7428,NA,6188,NA,81.62637362637363,NA,68,NA,83.30640818524505,NA
2019Q3,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7644,NA,6197,NA,83.08695652173914,NA,67.3586956521739,NA,81.07012035583466,NA
2019Q3,NA,SB0801,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7644,NA,6197,NA,83.08695652173914,NA,67.3586956521739,NA,81.07012035583466,NA
