month,country,hbt,treatment_location,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,date,quarter,prop_admission_to_same,prop_other_speciality,prop_residence,prop_transfer,prop_unknown
200707,S92000003,S08000031,G516H,Emergency Department,5040,5040,NA,4529,4529,NA,1607,NA,19,NA,2917,NA,116,NA,381,NA,40,NA,6,NA,2007-07-01,3,0.3188492063492063,0.00376984126984127,0.5787698412698413,0.023015873015873017,0.07559523809523809
200707,S92000003,S08000022,C103B,Minor Injury Unit or Other,401,NA,z,401,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,C106H,Minor Injury Unit or Other,615,NA,z,612,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,C108H,Minor Injury Unit or Other,110,NA,z,110,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,C110H,Minor Injury Unit or Other,468,NA,z,467,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,C113H,Minor Injury Unit or Other,369,NA,z,363,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,C117J,Minor Injury Unit or Other,67,NA,z,65,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,C121H,Emergency Department,616,NA,z,611,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,C122H,Minor Injury Unit or Other,211,NA,z,211,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H101H,Minor Injury Unit or Other,199,NA,z,199,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H103H,Emergency Department,496,NA,z,488,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H106H,Minor Injury Unit or Other,73,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H202H,Emergency Department,2618,2618,NA,2553,2553,NA,549,NA,18,NA,2051,NA,0,NA,0,NA,3,NA,1,NA,2007-07-01,3,0.20970206264323912,0.006875477463712758,0.7834224598930482,0,0
200707,S92000003,S08000022,H208H,Minor Injury Unit or Other,281,NA,z,280,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H210H,Minor Injury Unit or Other,113,NA,z,111,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H212H,Emergency Department,896,NA,z,879,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H214H,Minor Injury Unit or Other,300,NA,z,296,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H215H,Minor Injury Unit or Other,153,NA,z,152,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H217H,Minor Injury Unit or Other,185,NA,z,185,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H219H,Minor Injury Unit or Other,91,NA,z,91,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000022,H227B,Minor Injury Unit or Other,202,NA,z,202,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000032,L106H,Emergency Department,5662,5662,NA,5443,5443,NA,1537,NA,11,NA,4050,NA,22,NA,42,NA,3,NA,0,NA,2007-07-01,3,0.2714588484634405,0.001942776404097492,0.7152949487813494,0.003885552808194984,0.007417873542917697
200707,S92000003,S08000032,L206H,Minor Injury Unit or Other,165,NA,z,165,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000032,L207H,Minor Injury Unit or Other,166,NA,z,166,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000032,L302H,Emergency Department,4545,4545,NA,4270,4270,NA,1089,NA,12,NA,3384,NA,12,NA,48,NA,87,NA,45,NA,2007-07-01,3,0.2396039603960396,0.0026402640264026403,0.7445544554455445,0.0026402640264026403,0.010561056105610561
200707,S92000003,S08000032,L308H,Emergency Department,5555,5555,NA,5351,5351,NA,1276,NA,7,NA,4240,NA,15,NA,17,NA,44,NA,20,NA,2007-07-01,3,0.2297029702970297,0.0012601260126012602,0.7632763276327633,0.0027002700270027003,0.0030603060306030605
200707,S92000003,S08000024,S116H,Minor Injury Unit or Other,2761,2761,NA,2600,2600,NA,914,NA,4,NA,1840,NA,3,NA,0,NA,4,NA,0,NA,2007-07-01,3,0.331039478449837,0.0014487504527345165,0.6664252082578775,0.0010865628395508873,0
200707,S92000003,S08000024,S308H,Emergency Department,3900,3900,NA,3642,3642,NA,841,NA,4,NA,2755,NA,75,NA,225,NA,2,NA,0,NA,2007-07-01,3,0.21564102564102564,0.0010256410256410256,0.7064102564102565,0.019230769230769232,0.057692307692307696
200707,S92000003,S08000024,S314H,Emergency Department,8947,8947,NA,8468,8468,NA,2683,NA,15,NA,6044,NA,205,NA,0,NA,19,NA,0,NA,2007-07-01,3,0.29987705376103724,0.0016765396222197385,0.6755336984464066,0.022912708170336426,0
200707,S92000003,S08000024,S319H,Emergency Department,2620,2620,NA,2603,2603,NA,396,NA,1,NA,2218,NA,5,NA,0,NA,0,NA,0,NA,2007-07-01,3,0.15114503816793892,3.816793893129771e-4,0.8465648854961833,0.0019083969465648854,0
200707,S92000003,S08000025,R103H,Minor Injury Unit or Other,225,NA,z,225,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000026,Z102H,Emergency Department,802,802,NA,791,791,NA,125,NA,0,NA,651,NA,3,NA,23,NA,0,NA,0,NA,2007-07-01,3,0.15586034912718205,0,0.8117206982543641,0.003740648379052369,0.028678304239401497
200707,S92000003,S08000030,T101H,Emergency Department,3940,3940,NA,3927,3927,NA,854,NA,9,NA,3038,NA,20,NA,19,NA,0,NA,0,NA,2007-07-01,3,0.216751269035533,0.002284263959390863,0.7710659898477157,0.005076142131979695,0.004822335025380711
200707,S92000003,S08000030,T202H,Emergency Department,2208,2208,NA,2192,2192,NA,389,NA,1,NA,1665,NA,69,NA,84,NA,0,NA,0,NA,2007-07-01,3,0.17617753623188406,4.528985507246377e-4,0.7540760869565217,0.03125,0.03804347826086957
200707,S92000003,S08000030,T208H,Minor Injury Unit or Other,78,78,NA,78,78,NA,0,NA,0,NA,78,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,3,0,0,1,0,0
200707,S92000003,S08000030,T209H,Minor Injury Unit or Other,167,167,NA,166,166,NA,9,NA,0,NA,158,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,3,0.05389221556886228,0,0.9461077844311377,0,0
200707,S92000003,S08000030,T304H,Minor Injury Unit or Other,847,847,NA,846,846,NA,56,NA,0,NA,791,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,3,0.06611570247933884,0,0.9338842975206612,0,0
200707,S92000003,S08000030,T305H,Minor Injury Unit or Other,228,228,NA,228,228,NA,9,NA,0,NA,219,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,3,0.039473684210526314,0,0.9605263157894737,0,0
200707,S92000003,S08000030,T319H,Minor Injury Unit or Other,504,504,NA,504,504,NA,12,NA,0,NA,492,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,3,0.023809523809523808,0,0.9761904761904762,0,0
200707,S92000003,S08000030,T357C,Minor Injury Unit or Other,444,444,NA,444,444,NA,0,NA,0,NA,0,NA,0,NA,444,NA,0,NA,0,NA,2007-07-01,3,0,0,0,0,1
200707,S92000003,S08000028,W106H,Minor Injury Unit or Other,57,NA,z,57,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000028,W107H,Emergency Department,776,776,NA,762,762,NA,168,NA,0,NA,603,NA,0,NA,5,NA,1,NA,0,NA,2007-07-01,3,0.21649484536082475,0,0.7770618556701031,0,0.006443298969072165
200707,S92000003,S08000028,W108H,Minor Injury Unit or Other,135,NA,z,135,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000015,A101H,Minor Injury Unit or Other,265,NA,z,265,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000015,A111H,Emergency Department,5655,5655,NA,5508,5508,NA,1987,NA,9,NA,3548,NA,33,NA,78,NA,5,NA,3,NA,2007-08-01,3,0.3513704686118479,0.0015915119363395225,0.6274093722369585,0.005835543766578249,0.013793103448275862
200708,S92000003,S08000015,A207H,Minor Injury Unit or Other,86,NA,z,86,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000015,A210H,Emergency Department,3558,3558,NA,3388,3388,NA,1211,NA,0,NA,2211,NA,77,NA,59,NA,1,NA,0,NA,2007-08-01,3,0.3403597526700394,0,0.6214165261382799,0.021641371557054524,0.016582349634626195
200708,S92000003,S08000016,B103H,Minor Injury Unit or Other,14,NA,z,14,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000016,B105H,Minor Injury Unit or Other,106,NA,z,106,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000016,B114H,Minor Injury Unit or Other,28,NA,z,28,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000016,B118H,Minor Injury Unit or Other,122,NA,z,122,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000016,B120H,Emergency Department,2005,2005,NA,1993,1993,NA,600,NA,4,NA,1197,NA,34,NA,170,NA,0,NA,0,NA,2007-08-01,3,0.29925187032418954,0.00199501246882793,0.5970074812967581,0.016957605985037406,0.08478802992518704
200708,S92000003,S08000017,Y101H,Minor Injury Unit or Other,92,NA,z,92,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000017,Y106H,Minor Injury Unit or Other,77,NA,z,77,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000017,Y109H,Minor Injury Unit or Other,10,NA,z,10,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000017,Y110H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000017,Y144H,Emergency Department,1269,NA,z,1248,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000017,Y146H,Emergency Department,3010,3010,NA,2903,2903,NA,938,NA,3,NA,2005,NA,10,NA,54,NA,2,NA,0,NA,2007-08-01,3,0.3116279069767442,9.966777408637873e-4,0.6661129568106312,0.0033222591362126247,0.017940199335548173
200708,S92000003,S08000029,F704H,Emergency Department,3877,3877,NA,3745,3745,NA,572,NA,254,NA,2935,NA,49,NA,67,NA,8,NA,3,NA,2007-08-01,3,0.14753675522311066,0.06551457312354914,0.7570286303843178,0.01263863812225948,0.01728140314676296
200708,S92000003,S08000029,F708H,Minor Injury Unit or Other,155,NA,z,155,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000029,F709H,Minor Injury Unit or Other,251,NA,z,250,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000029,F805H,Emergency Department,3507,3507,NA,3400,3400,NA,712,NA,55,NA,2684,NA,31,NA,25,NA,3,NA,0,NA,2007-08-01,3,0.2030225263758198,0.01568291987453664,0.765326489877388,0.008839463929284289,0.0071285999429712005
200708,S92000003,S08000019,V102H,Minor Injury Unit or Other,1872,1872,NA,1870,1870,NA,0,NA,0,NA,1344,NA,227,NA,301,NA,0,NA,0,NA,2007-08-01,3,0,0,0.717948717948718,0.12126068376068376,0.1607905982905983
200708,S92000003,S08000019,V201H,Emergency Department,4370,4370,NA,4055,4055,NA,1096,NA,4,NA,2572,NA,38,NA,660,NA,10,NA,0,NA,2007-08-01,3,0.25080091533180776,9.153318077803204e-4,0.588558352402746,0.008695652173913044,0.15102974828375287
200708,S92000003,S08000020,N101H,Emergency Department,5421,5421,NA,5261,5261,NA,1278,NA,27,NA,3979,NA,108,NA,29,NA,5,NA,1,NA,2007-08-01,3,0.23574986164914222,0.004980630879911455,0.7339974174506548,0.01992252351964582,0.005349566500645637
200708,S92000003,S08000020,N121H,Emergency Department,1412,1412,NA,1402,1402,NA,343,NA,0,NA,1069,NA,0,NA,0,NA,0,NA,0,NA,2007-08-01,3,0.24291784702549576,0,0.7570821529745042,0,0
200708,S92000003,S08000020,N151H,Minor Injury Unit or Other,72,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000020,N331H,Minor Injury Unit or Other,48,NA,z,48,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000020,N332H,Minor Injury Unit or Other,93,NA,z,93,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000020,N333H,Minor Injury Unit or Other,1105,NA,z,1104,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000020,N334H,Minor Injury Unit or Other,806,NA,z,802,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
200708,S92000003,S08000020,N335H,Minor Injury Unit or Other,256,NA,z,256,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,3,NA,NA,NA,NA,NA
